a1 a1
a2 a2
a3 a3
a4 a4
a5 a5
ai1 ai1
ai2 ai2
ai3 ai3
ai4 ai4
ai5 ai5
an1 an1
an2 an2
an3 an3
an4 an4
an5 an5
ang1 ang1
ang2 ang2
ang3 ang3
ang4 ang4
ang5 ang5
ao1 ao1
ao2 ao2
ao3 ao3
ao4 ao4
ao5 ao5
kur1 k u1 rr
kur2 k u2 rr
kur3 k u3 rr
kur4 k u4 rr
kur5 k u5 rr
kuar1 k ua1 rr
kuar2 k ua2 rr
kuar3 k ua3 rr
kuar4 k ua4 rr
kuar5 k ua5 rr
kuair1 k uai1 rr
kuair2 k uai2 rr
kuair3 k uai3 rr
kuair4 k uai4 rr
kuair5 k uai5 rr
kuanr1 k uan1 rr
kuanr2 k uan2 rr
kuanr3 k uan3 rr
kuanr4 k uan4 rr
kuanr5 k uan5 rr
kuangr1 k uang1 rr
kuangr2 k uang2 rr
kuangr3 k uang3 rr
kuangr4 k uang4 rr
kuangr5 k uang5 rr
kuir1 k uei1 rr
kuir2 k uei2 rr
kuir3 k uei3 rr
kuir4 k uei4 rr
kuir5 k uei5 rr
kunr1 k uen1 rr
kunr2 k uen2 rr
kunr3 k uen3 rr
kunr4 k uen4 rr
kunr5 k uen5 rr
kuor1 k uo1 rr
kuor2 k uo2 rr
kuor3 k uo3 rr
kuor4 k uo4 rr
kuor5 k uo5 rr
lar1 l a1 rr
lar2 l a2 rr
lar3 l a3 rr
lar4 l a4 rr
lar5 l a5 rr
lair1 l ai1 rr
lair2 l ai2 rr
lair3 l ai3 rr
lair4 l ai4 rr
lair5 l ai5 rr
lanr1 l an1 rr
lanr2 l an2 rr
lanr3 l an3 rr
lanr4 l an4 rr
lanr5 l an5 rr
langr1 l ang1 rr
langr2 l ang2 rr
langr3 l ang3 rr
langr4 l ang4 rr
langr5 l ang5 rr
laor1 l ao1 rr
laor2 l ao2 rr
laor3 l ao3 rr
laor4 l ao4 rr
laor5 l ao5 rr
ler1 l e1 rr
ler2 l e2 rr
ler3 l e3 rr
ler4 l e4 rr
ler5 l e5 rr
leir1 l ei1 rr
leir2 l ei2 rr
leir3 l ei3 rr
leir4 l ei4 rr
leir5 l ei5 rr
lengr1 l eng1 rr
lengr2 l eng2 rr
lengr3 l eng3 rr
lengr4 l eng4 rr
lengr5 l eng5 rr
lir1 l i1 rr
lir2 l i2 rr
lir3 l i3 rr
lir4 l i4 rr
lir5 l i5 rr
liar1 l ia1 rr
liar2 l ia2 rr
liar3 l ia3 rr
liar4 l ia4 rr
liar5 l ia5 rr
lianr1 l ian1 rr
lianr2 l ian2 rr
lianr3 l ian3 rr
lianr4 l ian4 rr
lianr5 l ian5 rr
liangr1 l iang1 rr
liangr2 l iang2 rr
liangr3 l iang3 rr
liangr4 l iang4 rr
liangr5 l iang5 rr
liaor1 l iao1 rr
liaor2 l iao2 rr
liaor3 l iao3 rr
liaor4 l iao4 rr
liaor5 l iao5 rr
lier1 l ie1 rr
lier2 l ie2 rr
lier3 l ie3 rr
lier4 l ie4 rr
lier5 l ie5 rr
linr1 l in1 rr
linr2 l in2 rr
linr3 l in3 rr
linr4 l in4 rr
linr5 l in5 rr
lingr1 l ing1 rr
lingr2 l ing2 rr
lingr3 l ing3 rr
lingr4 l ing4 rr
lingr5 l ing5 rr
liur1 l iou1 rr
liur2 l iou2 rr
liur3 l iou3 rr
liur4 l iou4 rr
liur5 l iou5 rr
lor1 l o1 rr
lor2 l o2 rr
lor3 l o3 rr
lor4 l o4 rr
lor5 l o5 rr
longr1 l ong1 rr
longr2 l ong2 rr
longr3 l ong3 rr
longr4 l ong4 rr
longr5 l ong5 rr
lour1 l ou1 rr
lour2 l ou2 rr
lour3 l ou3 rr
lour4 l ou4 rr
lour5 l ou5 rr
lur1 l u1 rr
lur2 l u2 rr
lur3 l u3 rr
lur4 l u4 rr
lur5 l u5 rr
luanr1 l uan1 rr
luanr2 l uan2 rr
luanr3 l uan3 rr
luanr4 l uan4 rr
luanr5 l uan5 rr
luer1 l ve1 rr
luer2 l ve2 rr
luer3 l ve3 rr
luer4 l ve4 rr
luer5 l ve5 rr
lver1 l ve1 rr
lver2 l ve2 rr
lver3 l ve3 rr
lver4 l ve4 rr
lver5 l ve5 rr
lunr1 l uen1 rr
lunr2 l uen2 rr
lunr3 l uen3 rr
lunr4 l uen4 rr
lunr5 l uen5 rr
luor1 l uo1 rr
luor2 l uo2 rr
luor3 l uo3 rr
luor4 l uo4 rr
luor5 l uo5 rr
lvr1 l v1 rr
lvr2 l v2 rr
lvr3 l v3 rr
lvr4 l v4 rr
lvr5 l v5 rr
mar1 m a1 rr
mar2 m a2 rr
mar3 m a3 rr
mar4 m a4 rr
mar5 m a5 rr
mair1 m ai1 rr
mair2 m ai2 rr
mair3 m ai3 rr
mair4 m ai4 rr
mair5 m ai5 rr
manr1 m an1 rr
manr2 m an2 rr
manr3 m an3 rr
manr4 m an4 rr
manr5 m an5 rr
mangr1 m ang1 rr
mangr2 m ang2 rr
mangr3 m ang3 rr
mangr4 m ang4 rr
mangr5 m ang5 rr
maor1 m ao1 rr
maor2 m ao2 rr
maor3 m ao3 rr
maor4 m ao4 rr
maor5 m ao5 rr
mer1 m e1 rr
mer2 m e2 rr
mer3 m e3 rr
mer4 m e4 rr
mer5 m e5 rr
meir1 m ei1 rr
meir2 m ei2 rr
meir3 m ei3 rr
meir4 m ei4 rr
meir5 m ei5 rr
menr1 m en1 rr
menr2 m en2 rr
menr3 m en3 rr
menr4 m en4 rr
menr5 m en5 rr
mengr1 m eng1 rr
mengr2 m eng2 rr
mengr3 m eng3 rr
mengr4 m eng4 rr
mengr5 m eng5 rr
mir1 m i1 rr
mir2 m i2 rr
mir3 m i3 rr
mir4 m i4 rr
mir5 m i5 rr
mianr1 m ian1 rr
mianr2 m ian2 rr
mianr3 m ian3 rr
mianr4 m ian4 rr
mianr5 m ian5 rr
miaor1 m iao1 rr
miaor2 m iao2 rr
miaor3 m iao3 rr
miaor4 m iao4 rr
miaor5 m iao5 rr
mier1 m ie1 rr
mier2 m ie2 rr
mier3 m ie3 rr
mier4 m ie4 rr
mier5 m ie5 rr
minr1 m in1 rr
minr2 m in2 rr
minr3 m in3 rr
minr4 m in4 rr
minr5 m in5 rr
mingr1 m ing1 rr
mingr2 m ing2 rr
mingr3 m ing3 rr
mingr4 m ing4 rr
mingr5 m ing5 rr
miur1 m iou1 rr
miur2 m iou2 rr
miur3 m iou3 rr
miur4 m iou4 rr
miur5 m iou5 rr
mor1 m o1 rr
mor2 m o2 rr
mor3 m o3 rr
mor4 m o4 rr
mor5 m o5 rr
mour1 m ou1 rr
mour2 m ou2 rr
mour3 m ou3 rr
mour4 m ou4 rr
mour5 m ou5 rr
mur1 m u1 rr
mur2 m u2 rr
mur3 m u3 rr
mur4 m u4 rr
mur5 m u5 rr
nar1 n a1 rr
nar2 n a2 rr
nar3 n a3 rr
nar4 n a4 rr
nar5 n a5 rr
nair1 n ai1 rr
nair2 n ai2 rr
nair3 n ai3 rr
nair4 n ai4 rr
nair5 n ai5 rr
nanr1 n an1 rr
nanr2 n an2 rr
nanr3 n an3 rr
nanr4 n an4 rr
nanr5 n an5 rr
nangr1 n ang1 rr
nangr2 n ang2 rr
nangr3 n ang3 rr
nangr4 n ang4 rr
nangr5 n ang5 rr
naor1 n ao1 rr
naor2 n ao2 rr
naor3 n ao3 rr
naor4 n ao4 rr
naor5 n ao5 rr
ner1 n e1 rr
ner2 n e2 rr
ner3 n e3 rr
ner4 n e4 rr
ner5 n e5 rr
neir1 n ei1 rr
neir2 n ei2 rr
neir3 n ei3 rr
neir4 n ei4 rr
neir5 n ei5 rr
nenr1 n en1 rr
nenr2 n en2 rr
nenr3 n en3 rr
nenr4 n en4 rr
nenr5 n en5 rr
nengr1 n eng1 rr
nengr2 n eng2 rr
nengr3 n eng3 rr
nengr4 n eng4 rr
nengr5 n eng5 rr
nir1 n i1 rr
nir2 n i2 rr
nir3 n i3 rr
nir4 n i4 rr
nir5 n i5 rr
nianr1 n ian1 rr
nianr2 n ian2 rr
nianr3 n ian3 rr
nianr4 n ian4 rr
nianr5 n ian5 rr
niangr1 n iang1 rr
niangr2 n iang2 rr
niangr3 n iang3 rr
niangr4 n iang4 rr
niangr5 n iang5 rr
niaor1 n iao1 rr
niaor2 n iao2 rr
niaor3 n iao3 rr
niaor4 n iao4 rr
niaor5 n iao5 rr
nier1 n ie1 rr
nier2 n ie2 rr
nier3 n ie3 rr
nier4 n ie4 rr
nier5 n ie5 rr
ninr1 n in1 rr
ninr2 n in2 rr
ninr3 n in3 rr
ninr4 n in4 rr
ninr5 n in5 rr
ningr1 n ing1 rr
ningr2 n ing2 rr
ningr3 n ing3 rr
ningr4 n ing4 rr
ningr5 n ing5 rr
niur1 n iou1 rr
niur2 n iou2 rr
niur3 n iou3 rr
niur4 n iou4 rr
niur5 n iou5 rr
nongr1 n ong1 rr
nongr2 n ong2 rr
nongr3 n ong3 rr
nongr4 n ong4 rr
nongr5 n ong5 rr
nour1 n ou1 rr
nour2 n ou2 rr
nour3 n ou3 rr
nour4 n ou4 rr
nour5 n ou5 rr
nur1 n u1 rr
nur2 n u2 rr
nur3 n u3 rr
nur4 n u4 rr
nur5 n u5 rr
nuanr1 n uan1 rr
nuanr2 n uan2 rr
nuanr3 n uan3 rr
nuanr4 n uan4 rr
nuanr5 n uan5 rr
nuer1 n ve1 rr
nuer2 n ve2 rr
nuer3 n ve3 rr
nuer4 n ve4 rr
nuer5 n ve5 rr
nver1 n ve1 rr
nver2 n ve2 rr
nver3 n ve3 rr
nver4 n ve4 rr
nver5 n ve5 rr
nuor1 n uo1 rr
nuor2 n uo2 rr
nuor3 n uo3 rr
nuor4 n uo4 rr
nuor5 n uo5 rr
nvr1 n v1 rr
nvr2 n v2 rr
nvr3 n v3 rr
nvr4 n v4 rr
nvr5 n v5 rr
or1 o1 rr
or2 o2 rr
or3 o3 rr
or4 o4 rr
or5 o5 rr
our1 ou1 rr
our2 ou2 rr
our3 ou3 rr
our4 ou4 rr
our5 ou5 rr
par1 p a1 rr
par2 p a2 rr
par3 p a3 rr
par4 p a4 rr
par5 p a5 rr
pair1 p ai1 rr
pair2 p ai2 rr
pair3 p ai3 rr
pair4 p ai4 rr
pair5 p ai5 rr
panr1 p an1 rr
panr2 p an2 rr
panr3 p an3 rr
panr4 p an4 rr
panr5 p an5 rr
pangr1 p ang1 rr
pangr2 p ang2 rr
pangr3 p ang3 rr
pangr4 p ang4 rr
pangr5 p ang5 rr
paor1 p ao1 rr
paor2 p ao2 rr
paor3 p ao3 rr
paor4 p ao4 rr
paor5 p ao5 rr
peir1 p ei1 rr
peir2 p ei2 rr
peir3 p ei3 rr
peir4 p ei4 rr
peir5 p ei5 rr
penr1 p en1 rr
penr2 p en2 rr
penr3 p en3 rr
penr4 p en4 rr
penr5 p en5 rr
pengr1 p eng1 rr
pengr2 p eng2 rr
pengr3 p eng3 rr
pengr4 p eng4 rr
pengr5 p eng5 rr
pir1 p i1 rr
pir2 p i2 rr
pir3 p i3 rr
pir4 p i4 rr
pir5 p i5 rr
pianr1 p ian1 rr
pianr2 p ian2 rr
pianr3 p ian3 rr
pianr4 p ian4 rr
pianr5 p ian5 rr
piaor1 p iao1 rr
piaor2 p iao2 rr
piaor3 p iao3 rr
piaor4 p iao4 rr
piaor5 p iao5 rr
pier1 p ie1 rr
pier2 p ie2 rr
pier3 p ie3 rr
pier4 p ie4 rr
pier5 p ie5 rr
pinr1 p in1 rr
pinr2 p in2 rr
pinr3 p in3 rr
pinr4 p in4 rr
pinr5 p in5 rr
pingr1 p ing1 rr
pingr2 p ing2 rr
pingr3 p ing3 rr
pingr4 p ing4 rr
pingr5 p ing5 rr
por1 p o1 rr
por2 p o2 rr
por3 p o3 rr
por4 p o4 rr
por5 p o5 rr
pour1 p ou1 rr
pour2 p ou2 rr
pour3 p ou3 rr
pour4 p ou4 rr
pour5 p ou5 rr
pur1 p u1 rr
pur2 p u2 rr
pur3 p u3 rr
pur4 p u4 rr
pur5 p u5 rr
qir1 q i1 rr
qir2 q i2 rr
qir3 q i3 rr
qir4 q i4 rr
qir5 q i5 rr
qiar1 q ia1 rr
qiar2 q ia2 rr
qiar3 q ia3 rr
qiar4 q ia4 rr
qiar5 q ia5 rr
qianr1 q ian1 rr
qianr2 q ian2 rr
qianr3 q ian3 rr
qianr4 q ian4 rr
qianr5 q ian5 rr
qiangr1 q iang1 rr
qiangr2 q iang2 rr
qiangr3 q iang3 rr
qiangr4 q iang4 rr
qiangr5 q iang5 rr
qiaor1 q iao1 rr
qiaor2 q iao2 rr
qiaor3 q iao3 rr
qiaor4 q iao4 rr
qiaor5 q iao5 rr
qier1 q ie1 rr
qier2 q ie2 rr
qier3 q ie3 rr
qier4 q ie4 rr
qier5 q ie5 rr
qinr1 q in1 rr
qinr2 q in2 rr
qinr3 q in3 rr
qinr4 q in4 rr
qinr5 q in5 rr
qingr1 q ing1 rr
qingr2 q ing2 rr
qingr3 q ing3 rr
qingr4 q ing4 rr
qingr5 q ing5 rr
qiongr1 q iong1 rr
qiongr2 q iong2 rr
qiongr3 q iong3 rr
qiongr4 q iong4 rr
qiongr5 q iong5 rr
qiur1 q iou1 rr
qiur2 q iou2 rr
qiur3 q iou3 rr
qiur4 q iou4 rr
qiur5 q iou5 rr
qur1 q v1 rr
qur2 q v2 rr
qur3 q v3 rr
qur4 q v4 rr
qur5 q v5 rr
quanr1 q van1 rr
quanr2 q van2 rr
quanr3 q van3 rr
quanr4 q van4 rr
quanr5 q van5 rr
quer1 q ve1 rr
quer2 q ve2 rr
quer3 q ve3 rr
quer4 q ve4 rr
quer5 q ve5 rr
qunr1 q vn1 rr
qunr2 q vn2 rr
qunr3 q vn3 rr
qunr4 q vn4 rr
qunr5 q vn5 rr
ranr1 r an1 rr
ranr2 r an2 rr
ranr3 r an3 rr
ranr4 r an4 rr
ranr5 r an5 rr
rangr1 r ang1 rr
rangr2 r ang2 rr
rangr3 r ang3 rr
rangr4 r ang4 rr
rangr5 r ang5 rr
raor1 r ao1 rr
raor2 r ao2 rr
raor3 r ao3 rr
raor4 r ao4 rr
raor5 r ao5 rr
rer1 r e1 rr
rer2 r e2 rr
rer3 r e3 rr
rer4 r e4 rr
rer5 r e5 rr
renr1 r en1 rr
renr2 r en2 rr
renr3 r en3 rr
renr4 r en4 rr
renr5 r en5 rr
rengr1 r eng1 rr
rengr2 r eng2 rr
rengr3 r eng3 rr
rengr4 r eng4 rr
rengr5 r eng5 rr
rir1 r iii1 rr
rir2 r iii2 rr
rir3 r iii3 rr
rir4 r iii4 rr
rir5 r iii5 rr
rongr1 r ong1 rr
rongr2 r ong2 rr
rongr3 r ong3 rr
rongr4 r ong4 rr
rongr5 r ong5 rr
rour1 r ou1 rr
rour2 r ou2 rr
rour3 r ou3 rr
rour4 r ou4 rr
rour5 r ou5 rr
rur1 r u1 rr
rur2 r u2 rr
rur3 r u3 rr
rur4 r u4 rr
rur5 r u5 rr
ruar1 r ua1 rr
ruar2 r ua2 rr
ruar3 r ua3 rr
ruar4 r ua4 rr
ruar5 r ua5 rr
ruanr1 r uan1 rr
ruanr2 r uan2 rr
ruanr3 r uan3 rr
ruanr4 r uan4 rr
ruanr5 r uan5 rr
ruir1 r uei1 rr
ruir2 r uei2 rr
ruir3 r uei3 rr
ruir4 r uei4 rr
ruir5 r uei5 rr
runr1 r uen1 rr
runr2 r uen2 rr
runr3 r uen3 rr
runr4 r uen4 rr
runr5 r uen5 rr
ruor1 r uo1 rr
ruor2 r uo2 rr
ruor3 r uo3 rr
ruor4 r uo4 rr
ruor5 r uo5 rr
sar1 s a1 rr
sar2 s a2 rr
sar3 s a3 rr
sar4 s a4 rr
sar5 s a5 rr
sair1 s ai1 rr
sair2 s ai2 rr
sair3 s ai3 rr
sair4 s ai4 rr
sair5 s ai5 rr
sanr1 s an1 rr
sanr2 s an2 rr
sanr3 s an3 rr
sanr4 s an4 rr
sanr5 s an5 rr
sangr1 s ang1 rr
sangr2 s ang2 rr
sangr3 s ang3 rr
sangr4 s ang4 rr
sangr5 s ang5 rr
saor1 s ao1 rr
saor2 s ao2 rr
saor3 s ao3 rr
saor4 s ao4 rr
saor5 s ao5 rr
ser1 s e1 rr
ser2 s e2 rr
ser3 s e3 rr
ser4 s e4 rr
ser5 s e5 rr
senr1 s en1 rr
senr2 s en2 rr
senr3 s en3 rr
senr4 s en4 rr
senr5 s en5 rr
sengr1 s eng1 rr
sengr2 s eng2 rr
sengr3 s eng3 rr
sengr4 s eng4 rr
sengr5 s eng5 rr
shar1 sh a1 rr
shar2 sh a2 rr
shar3 sh a3 rr
shar4 sh a4 rr
shar5 sh a5 rr
shair1 sh ai1 rr
shair2 sh ai2 rr
shair3 sh ai3 rr
shair4 sh ai4 rr
shair5 sh ai5 rr
shanr1 sh an1 rr
shanr2 sh an2 rr
shanr3 sh an3 rr
shanr4 sh an4 rr
shanr5 sh an5 rr
shangr1 sh ang1 rr
shangr2 sh ang2 rr
shangr3 sh ang3 rr
shangr4 sh ang4 rr
shangr5 sh ang5 rr
shaor1 sh ao1 rr
shaor2 sh ao2 rr
shaor3 sh ao3 rr
shaor4 sh ao4 rr
shaor5 sh ao5 rr
sher1 sh e1 rr
sher2 sh e2 rr
sher3 sh e3 rr
sher4 sh e4 rr
sher5 sh e5 rr
sheir1 sh ei1 rr
sheir2 sh ei2 rr
sheir3 sh ei3 rr
sheir4 sh ei4 rr
sheir5 sh ei5 rr
shenr1 sh en1 rr
shenr2 sh en2 rr
shenr3 sh en3 rr
shenr4 sh en4 rr
shenr5 sh en5 rr
shengr1 sh eng1 rr
shengr2 sh eng2 rr
shengr3 sh eng3 rr
shengr4 sh eng4 rr
shengr5 sh eng5 rr
shir1 sh iii1 rr
shir2 sh iii2 rr
shir3 sh iii3 rr
shir4 sh iii4 rr
shir5 sh iii5 rr
shour1 sh ou1 rr
shour2 sh ou2 rr
shour3 sh ou3 rr
shour4 sh ou4 rr
shour5 sh ou5 rr
shur1 sh u1 rr
shur2 sh u2 rr
shur3 sh u3 rr
shur4 sh u4 rr
shur5 sh u5 rr
shuar1 sh ua1 rr
shuar2 sh ua2 rr
shuar3 sh ua3 rr
shuar4 sh ua4 rr
shuar5 sh ua5 rr
shuair1 sh uai1 rr
shuair2 sh uai2 rr
shuair3 sh uai3 rr
shuair4 sh uai4 rr
shuair5 sh uai5 rr
shuanr1 sh uan1 rr
shuanr2 sh uan2 rr
shuanr3 sh uan3 rr
shuanr4 sh uan4 rr
shuanr5 sh uan5 rr
shuangr1 sh uang1 rr
shuangr2 sh uang2 rr
shuangr3 sh uang3 rr
shuangr4 sh uang4 rr
shuangr5 sh uang5 rr
shuir1 sh uei1 rr
shuir2 sh uei2 rr
shuir3 sh uei3 rr
shuir4 sh uei4 rr
shuir5 sh uei5 rr
shunr1 sh uen1 rr
shunr2 sh uen2 rr
shunr3 sh uen3 rr
shunr4 sh uen4 rr
shunr5 sh uen5 rr
shuor1 sh uo1 rr
shuor2 sh uo2 rr
shuor3 sh uo3 rr
shuor4 sh uo4 rr
shuor5 sh uo5 rr
sir1 s ii1 rr
sir2 s ii2 rr
sir3 s ii3 rr
sir4 s ii4 rr
sir5 s ii5 rr
songr1 s ong1 rr
songr2 s ong2 rr
songr3 s ong3 rr
songr4 s ong4 rr
songr5 s ong5 rr
sour1 s ou1 rr
sour2 s ou2 rr
sour3 s ou3 rr
sour4 s ou4 rr
sour5 s ou5 rr
sur1 s u1 rr
sur2 s u2 rr
sur3 s u3 rr
sur4 s u4 rr
sur5 s u5 rr
suanr1 s uan1 rr
suanr2 s uan2 rr
suanr3 s uan3 rr
suanr4 s uan4 rr
suanr5 s uan5 rr
suir1 s uei1 rr
suir2 s uei2 rr
suir3 s uei3 rr
suir4 s uei4 rr
suir5 s uei5 rr
sunr1 s uen1 rr
sunr2 s uen2 rr
sunr3 s uen3 rr
sunr4 s uen4 rr
sunr5 s uen5 rr
suor1 s uo1 rr
suor2 s uo2 rr
suor3 s uo3 rr
suor4 s uo4 rr
suor5 s uo5 rr
tar1 t a1 rr
tar2 t a2 rr
tar3 t a3 rr
tar4 t a4 rr
tar5 t a5 rr
tair1 t ai1 rr
tair2 t ai2 rr
tair3 t ai3 rr
tair4 t ai4 rr
tair5 t ai5 rr
tanr1 t an1 rr
tanr2 t an2 rr
tanr3 t an3 rr
tanr4 t an4 rr
tanr5 t an5 rr
tangr1 t ang1 rr
tangr2 t ang2 rr
tangr3 t ang3 rr
tangr4 t ang4 rr
tangr5 t ang5 rr
taor1 t ao1 rr
taor2 t ao2 rr
taor3 t ao3 rr
taor4 t ao4 rr
taor5 t ao5 rr
ter1 t e1 rr
ter2 t e2 rr
ter3 t e3 rr
ter4 t e4 rr
ter5 t e5 rr
teir1 t ei1 rr
teir2 t ei2 rr
teir3 t ei3 rr
teir4 t ei4 rr
teir5 t ei5 rr
tengr1 t eng1 rr
tengr2 t eng2 rr
tengr3 t eng3 rr
tengr4 t eng4 rr
tengr5 t eng5 rr
tir1 t i1 rr
tir2 t i2 rr
tir3 t i3 rr
tir4 t i4 rr
tir5 t i5 rr
tianr1 t ian1 rr
tianr2 t ian2 rr
tianr3 t ian3 rr
tianr4 t ian4 rr
tianr5 t ian5 rr
tiaor1 t iao1 rr
tiaor2 t iao2 rr
tiaor3 t iao3 rr
tiaor4 t iao4 rr
tiaor5 t iao5 rr
tier1 t ie1 rr
tier2 t ie2 rr
tier3 t ie3 rr
tier4 t ie4 rr
tier5 t ie5 rr
tingr1 t ing1 rr
tingr2 t ing2 rr
tingr3 t ing3 rr
tingr4 t ing4 rr
tingr5 t ing5 rr
tongr1 t ong1 rr
tongr2 t ong2 rr
tongr3 t ong3 rr
tongr4 t ong4 rr
tongr5 t ong5 rr
tour1 t ou1 rr
tour2 t ou2 rr
tour3 t ou3 rr
tour4 t ou4 rr
tour5 t ou5 rr
tur1 t u1 rr
tur2 t u2 rr
tur3 t u3 rr
tur4 t u4 rr
tur5 t u5 rr
tuanr1 t uan1 rr
tuanr2 t uan2 rr
tuanr3 t uan3 rr
tuanr4 t uan4 rr
tuanr5 t uan5 rr
tuir1 t uei1 rr
tuir2 t uei2 rr
tuir3 t uei3 rr
tuir4 t uei4 rr
tuir5 t uei5 rr
tunr1 t uen1 rr
tunr2 t uen2 rr
tunr3 t uen3 rr
tunr4 t uen4 rr
tunr5 t uen5 rr
tuor1 t uo1 rr
tuor2 t uo2 rr
tuor3 t uo3 rr
tuor4 t uo4 rr
tuor5 t uo5 rr
war1 w ua1 rr
war2 w ua2 rr
war3 w ua3 rr
war4 w ua4 rr
war5 w ua5 rr
wair1 w uai1 rr
wair2 w uai2 rr
wair3 w uai3 rr
wair4 w uai4 rr
wair5 w uai5 rr
wanr1 w uan1 rr
wanr2 w uan2 rr
wanr3 w uan3 rr
wanr4 w uan4 rr
wanr5 w uan5 rr
wangr1 w uang1 rr
wangr2 w uang2 rr
wangr3 w uang3 rr
wangr4 w uang4 rr
wangr5 w uang5 rr
weir1 w uei1 rr
weir2 w uei2 rr
weir3 w uei3 rr
weir4 w uei4 rr
weir5 w uei5 rr
wenr1 w uen1 rr
wenr2 w uen2 rr
wenr3 w uen3 rr
wenr4 w uen4 rr
wenr5 w uen5 rr
wengr1 w uen1 rr
wengr2 w uen2 rr
wengr3 w uen3 rr
wengr4 w uen4 rr
wengr5 w uen5 rr
wor1 w uo1 rr
wor2 w uo2 rr
wor3 w uo3 rr
wor4 w uo4 rr
wor5 w uo5 rr
wur1 w u1 rr
wur2 w u2 rr
wur3 w u3 rr
wur4 w u4 rr
wur5 w u5 rr
xir1 x i1 rr
xir2 x i2 rr
xir3 x i3 rr
xir4 x i4 rr
xir5 x i5 rr
xiar1 x ia1 rr
xiar2 x ia2 rr
xiar3 x ia3 rr
xiar4 x ia4 rr
xiar5 x ia5 rr
xianr1 x ian1 rr
xianr2 x ian2 rr
xianr3 x ian3 rr
xianr4 x ian4 rr
xianr5 x ian5 rr
xiangr1 x iang1 rr
xiangr2 x iang2 rr
xiangr3 x iang3 rr
xiangr4 x iang4 rr
xiangr5 x iang5 rr
xiaor1 x iao1 rr
xiaor2 x iao2 rr
xiaor3 x iao3 rr
xiaor4 x iao4 rr
xiaor5 x iao5 rr
xier1 x ie1 rr
xier2 x ie2 rr
xier3 x ie3 rr
xier4 x ie4 rr
xier5 x ie5 rr
xinr1 x in1 rr
xinr2 x in2 rr
xinr3 x in3 rr
xinr4 x in4 rr
xinr5 x in5 rr
xingr1 x ing1 rr
xingr2 x ing2 rr
xingr3 x ing3 rr
xingr4 x ing4 rr
xingr5 x ing5 rr
xiongr1 x iong1 rr
xiongr2 x iong2 rr
xiongr3 x iong3 rr
xiongr4 x iong4 rr
xiongr5 x iong5 rr
xiur1 x iou1 rr
xiur2 x iou2 rr
xiur3 x iou3 rr
xiur4 x iou4 rr
xiur5 x iou5 rr
xur1 x v1 rr
xur2 x v2 rr
xur3 x v3 rr
xur4 x v4 rr
xur5 x v5 rr
xuanr1 x van1 rr
xuanr2 x van2 rr
xuanr3 x van3 rr
xuanr4 x van4 rr
xuanr5 x van5 rr
xuer1 x ve1 rr
xuer2 x ve2 rr
xuer3 x ve3 rr
xuer4 x ve4 rr
xuer5 x ve5 rr
xunr1 x vn1 rr
xunr2 x vn2 rr
xunr3 x vn3 rr
xunr4 x vn4 rr
xunr5 x vn5 rr
yar1 y ia1 rr
yar2 y ia2 rr
yar3 y ia3 rr
yar4 y ia4 rr
yar5 y ia5 rr
yanr1 y ian1 rr
yanr2 y ian2 rr
yanr3 y ian3 rr
yanr4 y ian4 rr
yanr5 y ian5 rr
yangr1 y iang1 rr
yangr2 y iang2 rr
yangr3 y iang3 rr
yangr4 y iang4 rr
yangr5 y iang5 rr
yaor1 y iao1 rr
yaor2 y iao2 rr
yaor3 y iao3 rr
yaor4 y iao4 rr
yaor5 y iao5 rr
yer1 y ie1 rr
yer2 y ie2 rr
yer3 y ie3 rr
yer4 y ie4 rr
yer5 y ie5 rr
yir1 y i1 rr
yir2 y i2 rr
yir3 y i3 rr
yir4 y i4 rr
yir5 y i5 rr
yinr1 y in1 rr
yinr2 y in2 rr
yinr3 y in3 rr
yinr4 y in4 rr
yinr5 y in5 rr
yingr1 y ing1 rr
yingr2 y ing2 rr
yingr3 y ing3 rr
yingr4 y ing4 rr
yingr5 y ing5 rr
yor1 y iou1 rr
yor2 y iou2 rr
yor3 y iou3 rr
yor4 y iou4 rr
yor5 y iou5 rr
yongr1 y iong1 rr
yongr2 y iong2 rr
yongr3 y iong3 rr
yongr4 y iong4 rr
yongr5 y iong5 rr
your1 y iou1 rr
your2 y iou2 rr
your3 y iou3 rr
your4 y iou4 rr
your5 y iou5 rr
yur1 y v1 rr
yur2 y v2 rr
yur3 y v3 rr
yur4 y v4 rr
yur5 y v5 rr
yuanr1 y van1 rr
yuanr2 y van2 rr
yuanr3 y van3 rr
yuanr4 y van4 rr
yuanr5 y van5 rr
yuer1 y ve1 rr
yuer2 y ve2 rr
yuer3 y ve3 rr
yuer4 y ve4 rr
yuer5 y ve5 rr
yunr1 y vn1 rr
yunr2 y vn2 rr
yunr3 y vn3 rr
yunr4 y vn4 rr
yunr5 y vn5 rr
zar1 z a1 rr
zar2 z a2 rr
zar3 z a3 rr
zar4 z a4 rr
zar5 z a5 rr
zair1 z ai1 rr
zair2 z ai2 rr
zair3 z ai3 rr
zair4 z ai4 rr
zair5 z ai5 rr
zanr1 z an1 rr
zanr2 z an2 rr
zanr3 z an3 rr
zanr4 z an4 rr
zanr5 z an5 rr
zangr1 z ang1 rr
zangr2 z ang2 rr
zangr3 z ang3 rr
zangr4 z ang4 rr
zangr5 z ang5 rr
